               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092023,            0.032418,                   0,              0.1682,             0.20029,            0.080312,            0.019798,            0.086489,            0.027966,                   0,           0.0032576,           0.0032576,            0.070682
                   1,            0.062156,            0.026965,                   0,             0.17383,             0.31854,             0.10607,            0.023581,            0.083941,            0.021445,                   0,           0.0064278,           0.0064278,            0.040519
                   2,            0.053899,            0.024361,                   0,             0.37424,             0.40412,             0.30889,             0.11367,            0.061216,            0.019618,                   0,            0.009433,            0.009433,            0.010191
                   3,            0.049869,            0.023439,                   0,             0.44342,             0.37559,              0.3401,             0.11991,            0.059218,            0.017143,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.045965,             0.02307,                   0,             0.47486,              0.5309,             0.48131,             0.18427,            0.055437,            0.015908,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.045248,            0.022686,                   0,              0.4964,             0.45642,             0.40991,             0.14946,            0.055843,            0.015704,                   0,             0.00901,             0.00901,             0.00901
                   6,             0.04381,            0.022171,                   0,             0.53858,             0.57052,             0.51696,             0.19616,             0.04986,            0.014839,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.041659,            0.021892,                   0,             0.55579,             0.58162,             0.53933,             0.21704,            0.049095,            0.015169,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.041034,            0.020666,                   0,             0.59006,             0.48653,             0.48646,             0.20398,            0.049886,            0.015542,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.039488,            0.021513,                   0,             0.56896,             0.52456,             0.51451,             0.21997,            0.049115,            0.015433,                   0,             0.00802,             0.00802,             0.00802
                  10,              0.0391,            0.019991,                   0,             0.56542,             0.55309,             0.52015,             0.21946,            0.049323,            0.015585,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,             0.03761,            0.020205,                   0,             0.57137,             0.62599,             0.54609,             0.24502,            0.047743,            0.015198,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.037014,            0.019328,                   0,             0.61702,             0.60856,             0.58737,              0.2583,            0.048178,            0.015248,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.036103,            0.019624,                   0,             0.60866,             0.58095,              0.5478,             0.22402,            0.047775,            0.015207,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.035789,            0.019372,                   0,             0.55137,             0.54675,             0.51291,             0.21163,            0.048647,            0.015564,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.034654,            0.018307,                   0,             0.62367,             0.56577,             0.56286,             0.24505,            0.049017,            0.015452,                   0,            0.006535,            0.006535,            0.006535
                  16,             0.03408,             0.01843,                   0,             0.61876,             0.56508,             0.56317,             0.23321,            0.047972,            0.016167,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.033959,            0.018299,                   0,             0.67342,             0.55882,             0.59995,             0.27174,            0.047874,            0.015398,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.032747,            0.018527,                   0,             0.57959,             0.61014,             0.56313,             0.24569,            0.046723,            0.015385,                   0,           0.0057925,           0.0057925,           0.0057925
